target_id	length	eff_length	est_counts	tpm
KIR:KIR01914	14217	14072	0	0
KIR:KIR01884	14217	14072	0	0
KIR:KIR01986	14741	14596	0	0
KIR:KIR01801	14741	14596	0	0
KIR:KIR01770	14741	14596	0	0
KIR:KIR01809	14741	14596	0	0
KIR:KIR01826	14217	14072	0	0
KIR:KIR00005	14740	14595	0	0
KIR:KIR01173	14741	14596	0	0
KIR:KIR01857	14741	14596	0	0
KIR:KIR02057	14744	14599	0	0
KIR:KIR01979	14743	14598	0	0
KIR:KIR02031	14741	14596	0	0
KIR:KIR01926	14741	14596	0	0
KIR:KIR01987	14741	14596	0	0
KIR:KIR01818	14742	14597	0	0
KIR:KIR01892	14741	14596	0	0
KIR:KIR01969	14740	14595	0	0
KIR:KIR01925	14741	14596	0	0
KIR:KIR01867	14741	14596	0	0
KIR:KIR01945	14742	14597	1.71051	45.6203
KIR:KIR02049	14741	14596	1.82829	48.765
KIR:KIR01864	14741	14596	0	0
KIR:KIR01933	14741	14596	0	0
KIR:KIR02008	14741	14596	0	0
KIR:KIR02054	14742	14597	0	0
KIR:KIR02033	14742	14597	0	0
KIR:KIR01972	14743	14598	0	0
KIR:KIR02055	14742	14597	0	0
KIR:KIR01929	14741	14596	0	0
KIR:KIR01978	14217	14072	0	0
KIR:KIR01789	14217	14072	0	0
KIR:KIR00006	14748	14603	0	0
KIR:KIR00007	14748	14603	0	0
KIR:KIR01052	14748	14603	0	0
KIR:KIR01053	14748	14603	0	0
KIR:KIR01062	14748	14603	0	0
KIR:KIR01069	14748	14603	0	0
KIR:KIR01074	14748	14603	0	0
KIR:KIR01079	14748	14603	0	0
KIR:KIR01084	14748	14603	0	0
KIR:KIR01085	14748	14603	0	0
KIR:KIR01090	14748	14603	0	0
KIR:KIR01094	14469	14324	0	0
KIR:KIR01104	14748	14603	0.0411304	1.09652
KIR:KIR01108	14748	14603	0	0
KIR:KIR01123	14748	14603	0	0
KIR:KIR01189	14748	14603	10.6766	284.636
KIR:KIR01172	14748	14603	0	0
KIR:KIR01990	14748	14603	5.99005	159.693
KIR:KIR01858	14748	14603	0	0
KIR:KIR01903	14748	14603	0	0
KIR:KIR01958	14748	14603	0	0
KIR:KIR01983	14748	14603	0	0
KIR:KIR01776	14748	14603	3.18373	84.8772
KIR:KIR01783	14748	14603	0	0
KIR:KIR02014	14748	14603	0	0
KIR:KIR01796	14748	14603	0	0
KIR:KIR01845	14748	14603	0	0
KIR:KIR01965	14748	14603	0	0
KIR:KIR01883	14748	14603	0	0
KIR:KIR01868	14748	14603	0	0
KIR:KIR01996	14748	14603	0	0
KIR:KIR01810	14744	14599	0	0
KIR:KIR02040	14748	14603	0	0
KIR:KIR02201	14748	14603	0	0
KIR:KIR02308	14704	14559	0	0
KIR:KIR00203	14748	14603	0	0
KIR:KIR01938	14748	14603	0	0
KIR:KIR01171	14748	14603	0	0
KIR:KIR01880	14748	14603	0	0
KIR:KIR02022	14748	14603	0	0
KIR:KIR01950	14748	14603	0	0
KIR:KIR01874	14748	14603	0	0
KIR:KIR02043	14748	14603	0	0
KIR:KIR01827	14747	14602	7.35234	196.025
KIR:KIR01838	14748	14603	0	0
KIR:KIR00200	14749	14604	0.00319491	0.0851695
KIR:KIR01893	14749	14604	0.00237298	0.0632587
KIR:KIR01942	14748	14603	0	0
KIR:KIR01879	14749	14604	0.00237298	0.0632587
KIR:KIR01795	14749	14604	0.00237298	0.0632587
KIR:KIR01876	14749	14604	0.00167109	0.0445478
KIR:KIR00201	14739	14594	0	0
KIR:KIR01955	14738	14593	0	0
KIR:KIR00214	14746	14601	18.386	490.233
KIR:KIR00396	14728	14583	0	0
KIR:KIR02090	14728	14583	68.5608	1830.32
KIR:KIR00331	14737	14592	0	0
KIR:KIR00574	14738	14593	0	0
KIR:KIR00333	14741	14596	0	0
KIR:KIR00617	14741	14596	0	0
KIR:KIR00865	14741	14596	0	0
KIR:KIR01566	14742	14597	3.19347	85.172
KIR:KIR01565	14741	14596	0	0
KIR:KIR00900	14741	14596	0	0
KIR:KIR00980	14741	14596	0	0
KIR:KIR01550	14741	14596	0	0
KIR:KIR01860	14741	14596	0	0
KIR:KIR02011	14740	14595	0	0
KIR:KIR01538	14744	14599	0	0
KIR:KIR01541	14738	14593	0	0
KIR:KIR01815	14738	14593	0	0
KIR:KIR01571	14224	14079	0	0
KIR:KIR01533	14748	14603	0	0
KIR:KIR01558	14740	14595	0	0
KIR:KIR01553	14740	14595	0	0
KIR:KIR01959	14741	14596	0	0
KIR:KIR01917	14741	14596	0	0
KIR:KIR01788	14740	14595	0	0
KIR:KIR01532	14741	14596	0	0
KIR:KIR01564	14738	14593	0	0
KIR:KIR01569	14738	14593	0	0
KIR:KIR01570	14737	14592	0	0
KIR:KIR01568	14741	14596	0	0
KIR:KIR01567	14740	14595	0	0
KIR:KIR01548	14741	14596	0	0
KIR:KIR01534	14739	14594	0	0
KIR:KIR01535	14738	14593	4.83875	129.088
KIR:KIR01536	14748	14603	5.92949	158.078
KIR:KIR01562	14748	14603	0	0
KIR:KIR01540	14748	14603	0	0
KIR:KIR01539	14748	14603	0	0
KIR:KIR01542	14738	14593	0	0
KIR:KIR01543	14749	14604	3.05488	81.4366
KIR:KIR01537	14748	14603	0	0
KIR:KIR01544	14748	14603	0	0
KIR:KIR01545	14748	14603	0	0
KIR:KIR01547	14741	14596	0	0
KIR:KIR01848	14741	14596	0	0
KIR:KIR01551	14748	14603	0	0
KIR:KIR01555	14739	14594	0	0
KIR:KIR01556	14738	14593	0	0
KIR:KIR01557	14739	14594	0	0
KIR:KIR01559	14739	14594	0	0
KIR:KIR01560	14739	14594	0	0
KIR:KIR01561	14741	14596	0	0
KIR:KIR01549	14741	14596	0	0
KIR:KIR01546	14741	14596	2.49348	66.5073
KIR:KIR01628	14741	14596	0	0
KIR:KIR02242	14741	14596	0	0
KIR:KIR01934	14742	14597	0	0
KIR:KIR01952	14741	14596	0	0
KIR:KIR01899	14741	14596	0	0
KIR:KIR01944	14737	14592	0	0
KIR:KIR01968	14748	14603	0	0
KIR:KIR01982	14748	14603	2.90636	77.4826
KIR:KIR01881	14748	14603	0	0
KIR:KIR01951	14741	14596	0	0
KIR:KIR01835	14741	14596	0	0
KIR:KIR02168	14741	14596	0	0
KIR:KIR01897	14748	14603	2.97855	79.4073
KIR:KIR01918	14742	14597	0	0
KIR:KIR01894	14741	14596	0	0
KIR:KIR01954	14740	14595	6.35525	169.522
KIR:KIR01872	14741	14596	0	0
KIR:KIR01980	14742	14597	0	0
KIR:KIR01984	14741	14596	0	0
KIR:KIR01798	14742	14597	0	0
KIR:KIR01916	14738	14593	0	0
KIR:KIR01900	14741	14596	3.10853	82.9123
KIR:KIR01953	14742	14597	0.411346	10.9709
KIR:KIR01923	14741	14596	0	0
KIR:KIR01975	14744	14599	4.63221	123.527
KIR:KIR01787	14744	14599	4.63221	123.527
KIR:KIR01960	14748	14603	0	0
KIR:KIR01989	14740	14595	0	0
KIR:KIR01841	14741	14596	0	0
KIR:KIR01915	14741	14596	0	0
KIR:KIR01976	14742	14597	0	0
KIR:KIR01850	14741	14596	0	0
KIR:KIR01922	14741	14596	0	0
KIR:KIR01907	14748	14603	0	0
KIR:KIR01870	14738	14593	0	0
KIR:KIR01803	14739	14594	0	0
KIR:KIR01784	14741	14596	0	0
KIR:KIR01800	14738	14593	0	0
KIR:KIR01854	14739	14594	0	0
KIR:KIR01956	14738	14593	0	0
KIR:KIR01775	14747	14602	0	0
KIR:KIR02027	14738	14593	0	0
KIR:KIR02020	14739	14594	0	0
KIR:KIR02047	14741	14596	0	0
KIR:KIR02013	14742	14597	1.39905	37.3137
KIR:KIR02019	14741	14596	1.49539	39.8858
KIR:KIR02000	14744	14599	0	0
